DQ546606	29	147865.67	229912.17
DQ540966	30	146001.83	228493.17
DQ540188	25	29252.92	24557.00
DQ558990	30	6166.50	11048.00
DQ541777	30	1995.50	2411.00
DQ703900	32	4252.00	1621.50
DQ540229	31	1495.50	1033.33
DQ719271	21	1355.00	1009.83
DQ540053	29	810.00	822.00
DQ708952	22	694.00	720.00
DQ541506	28	523.90	627.40
DQ542358	31	446.00	549.50
DQ540285	32	457.40	548.23
DQ540284	31	456.90	548.23
DQ540283	31	456.90	548.23
DQ543676	31	438.90	518.70
DQ701563	26	384.00	489.50
DQ541630	25	680.50	464.00
DQ705026	29	154.00	377.00
DQ551624	28	196.00	349.33
DQ551625	29	196.00	349.33
DQ701020	19	281.00	339.00
DQ715971	25	461.17	327.00
DQ710909	23	428.17	312.00
DQ719597	28	168.00	306.00
n200793	31	463.83	302.50
DQ711996	22	313.83	295.00
DQ724236	18	264.83	277.00
DQ541689	30	401.30	273.15
DQ720186	23	336.00	251.00
DQ714752	31	115.30	242.15
DQ559312	26	380.00	224.00
n202644	19	173.00	222.50
DQ725273	26	335.80	221.70
n204765	21	145.00	210.17
DQ558144	25	376.00	209.00
DQ696996	22	206.50	192.00
DQ707524	20	191.50	191.00
DQ553318	26	181.00	163.00
DQ714439	28	178.47	147.18
DQ555094	32	202.00	140.00
DQ716505	21	80.25	138.50
DQ719430	23	79.25	137.00
DQ706273	22	79.25	137.00
DQ712837	23	53.00	135.00
DQ549760	29	191.00	133.00
DQ555093	29	189.50	129.50
DQ550329	28	126.00	127.00
DQ540952	28	91.70	124.27
DQ540981	30	126.50	124.00
DQ709462	30	90.67	108.33
DQ540984	30	62.93	103.50
DQ713872	22	81.00	97.00
DQ552696	30	120.00	91.00
DQ719488	24	248.00	90.00
DQ541470	27	127.72	89.05
DQ551913	27	57.33	80.25
DQ689086	27	65.00	78.00
DQ717385	22	89.50	64.33
DQ548183	28	65.50	60.00
DQ540859	30	77.50	58.50
DQ556354	30	20.00	58.50
DQ696831	31	33.00	54.00
DQ540872	32	107.50	54.00
DQ540944	26	47.68	53.08
DQ542796	28	49.00	53.00
DQ546708	30	43.00	52.00
DQ541352	25	44.93	51.08
DQ540974	29	66.50	49.50
DQ540526	28	32.00	49.00
DQ551739	28	22.67	47.22
DQ540403	30	24.00	46.00
DQ540915	30	54.00	46.00
DQ539904	28	45.00	45.50
DQ699095	24	20.00	44.50
DQ723924	20	20.00	44.00
DQ541614	28	18.38	43.58
DQ564913	30	29.33	41.92
DQ553409	27	45.50	41.50
DQ547181	28	18.00	41.00
DQ545450	28	32.00	41.00
DQ687520	26	41.93	39.08
